title,raw_title,author,avg_rating,ratings_count,cover_url,details_url,source
"Growing Object-Oriented Software, Guided by Tests)","Growing Object-Oriented Software, Guided by Tests (Addison-Wesley Signature Series (Beck))",Steve Freeman,4.19,2467,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348030542i/4268826._SX50_.jpg,https://www.goodreads.com/book/show/4268826-growing-object-oriented-software-guided-by-tests-addison-wesley-signat,goodreads_scraped
"Framework Design Guidelines: Conventions, Idioms, and Patterns for Reusable .NET Libraries","Framework Design Guidelines: Conventions, Idioms, and Patterns for Reusable .NET Libraries",Krzysztof Cwalina,4.23,376,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348375375i/2700831._SX50_.jpg,https://www.goodreads.com/book/show/2700831-framework-design-guidelines,goodreads_scraped
Object Thinking,Object Thinking,David      West,3.93,210,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1396833230i/43940._SX50_.jpg,https://www.goodreads.com/book/show/43940.Object_Thinking,goodreads_scraped
Advanced Programming in the UNIX Environment,Advanced Programming in the UNIX Environment,W. Richard Stevens,4.34,1729,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387712281i/19814462._SX50_.jpg,https://www.goodreads.com/book/show/19814462-advanced-programming-in-the-unix-environment,goodreads_scraped
Hackers & Painters: Big Ideas from the Computer Age,Hackers & Painters: Big Ideas from the Computer Age,Paul    Graham,4.05,9630,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348562702i/41793._SY75_.jpg,https://www.goodreads.com/book/show/41793.Hackers_Painters,goodreads_scraped
The Soul of a New Machine,The Soul of a New Machine,Tracy Kidder,4.12,9680,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1627012239i/7090._SY75_.jpg,https://www.goodreads.com/book/show/7090.The_Soul_of_a_New_Machine,goodreads_scraped
CLR via C#,CLR via C#,Jeffrey Richter,4.56,1103,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388551187i/7121415._SX50_.jpg,https://www.goodreads.com/book/show/7121415-clr-via-c,goodreads_scraped
Design Patterns in C#,Design Patterns in C#,Steven John Metsker,3.51,85,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348615106i/85038._SX50_.jpg,https://www.goodreads.com/book/show/85038.Design_Patterns_in_C_,goodreads_scraped
Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values,"Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus, #1)",Robert M. Pirsig,3.78,248603,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1410136019i/629._SY75_.jpg,https://www.goodreads.com/book/show/629.Zen_and_the_Art_of_Motorcycle_Maintenance,goodreads_scraped
About Face 3: The Essentials of Interaction Design,About Face 3: The Essentials of Interaction Design,Alan Cooper,4.07,3533,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348112867i/289062._SX50_.jpg,https://www.goodreads.com/book/show/289062.About_Face_3,goodreads_scraped
Here Comes Everybody: The Power of Organizing Without Organizations,Here Comes Everybody: The Power of Organizing Without Organizations,Clay Shirky,3.78,7141,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1351070146i/1998185._SX50_.jpg,https://www.goodreads.com/book/show/1998185.Here_Comes_Everybody,goodreads_scraped
The Tao of Programming,The Tao of Programming,Geoffrey James,4.07,310,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388891750i/265456._SY75_.jpg,https://www.goodreads.com/book/show/265456.The_Tao_of_Programming,goodreads_scraped
"The Computational Beauty of Nature: Computer Explorations of Fractals, Chaos, Complex Systems, and Adaptation","The Computational Beauty of Nature: Computer Explorations of Fractals, Chaos, Complex Systems, and Adaptation",Gary William Flake,4.37,268,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347507518i/248544._SX50_.jpg,https://www.goodreads.com/book/show/248544.The_Computational_Beauty_of_Nature,goodreads_scraped
Philip & Alex's Guide to Web Publishing,Philip & Alex's Guide to Web Publishing,Philip Greenspun,3.9,77,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1176363706i/617140._SX50_.jpg,https://www.goodreads.com/book/show/617140.Philip_Alex_s_Guide_to_Web_Publishing,goodreads_scraped
Object-Oriented Analysis and Design with Applications,Object-Oriented Analysis and Design with Applications,Grady Booch,3.91,606,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348359570i/424923._SX50_.jpg,https://www.goodreads.com/book/show/424923.Object_Oriented_Analysis_and_Design_with_Applications,goodreads_scraped
Computability: An Introduction to Recursive Function Theory,Computability: An Introduction to Recursive Function Theory,Nigel Cutland,4.0,31,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1389935707i/1190249._SY75_.jpg,https://www.goodreads.com/book/show/1190249.Computability,goodreads_scraped
Masterminds of Programming: Conversations with the Creators of Major Programming Languages,Masterminds of Programming: Conversations with the Creators of Major Programming Languages,Federico Biancuzzi,3.9,444,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328834764i/1746425._SX50_.jpg,https://www.goodreads.com/book/show/1746425.Masterminds_of_Programming,goodreads_scraped
Tao Te Ching,Tao Te Ching,Lao Tzu,4.29,186044,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1333578861i/67896._SY75_.jpg,https://www.goodreads.com/book/show/67896.Tao_Te_Ching,goodreads_scraped
The Productive Programmer (Theory in Practice,The Productive Programmer (Theory in Practice,Neal Ford,3.72,805,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328834827i/3411606._SX50_.jpg,https://www.goodreads.com/book/show/3411606-the-productive-programmer-theory-in-practice,goodreads_scraped
The Art of Deception: Controlling the Human Element of Security,The Art of Deception: Controlling the Human Element of Security,Kevin D. Mitnick,3.76,7298,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1385273509i/18160._SY75_.jpg,https://www.goodreads.com/book/show/18160.The_Art_of_Deception,goodreads_scraped
The Career Programmer: Guerilla Tactics for an Imperfect World,The Career Programmer: Guerilla Tactics for an Imperfect World,Christopher   Duncan,3.21,70,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1385161110i/5843._SY75_.jpg,https://www.goodreads.com/book/show/5843.The_Career_Programmer,goodreads_scraped
Paradigms of Artificial Intelligence Programming: Case Studies in Common Lisp,Paradigms of Artificial Intelligence Programming: Case Studies in Common Lisp,Peter Norvig,4.33,505,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347640255i/83884._SX50_.jpg,https://www.goodreads.com/book/show/83884.Paradigms_of_Artificial_Intelligence_Programming,goodreads_scraped
Masters of Doom: How Two Guys Created an Empire and Transformed Pop Culture,Masters of Doom: How Two Guys Created an Empire and Transformed Pop Culture,David Kushner,4.3,20430,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1557932856i/222146._SY75_.jpg,https://www.goodreads.com/book/show/222146.Masters_of_Doom,goodreads_scraped
Pragmatic Unit Testing in C# with Nunit,Pragmatic Unit Testing in C# with Nunit,Andy   Hunt,3.7,155,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1436620102i/22129._SX50_.jpg,https://www.goodreads.com/book/show/22129.Pragmatic_Unit_Testing_in_C_with_Nunit,goodreads_scraped
How to Solve It: A New Aspect of Mathematical Method,How to Solve It: A New Aspect of Mathematical Method,George Pólya,4.12,5261,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1349052024i/192221._SY75_.jpg,https://www.goodreads.com/book/show/192221.How_to_Solve_It,goodreads_scraped
Smalltalk-80: The Language and its Implementation,Smalltalk-80: The Language and its Implementation,Adele Goldberg,4.73,48,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387734312i/1831735._SX50_.jpg,https://www.goodreads.com/book/show/1831735.Smalltalk_80,goodreads_scraped
Writing Secure Code,Writing Secure Code,Michael  Howard,4.01,372,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1396836770i/44916._SX50_.jpg,https://www.goodreads.com/book/show/44916.Writing_Secure_Code,goodreads_scraped
Introduction to Functional Programming,Introduction to Functional Programming (Prentice-Hall Series in Engineering of the Physical Sciences),Richard S. Bird,4.08,87,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1300364821i/3791460._SY75_.jpg,https://www.goodreads.com/book/show/3791460-introduction-to-functional-programming,goodreads_scraped
No Bugs!: Delivering Error-Free Code in C and C++,No Bugs!: Delivering Error-Free Code in C and C++,David Thielen,3.11,9,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1266743329i/2338849._SX50_.jpg,https://www.goodreads.com/book/show/2338849.No_Bugs_,goodreads_scraped
"JUnit in Action, Second Edition","JUnit in Action, Second Edition",Vincent Massol,3.55,124,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347658607i/7778320._SX50_.jpg,https://www.goodreads.com/book/show/7778320-junit-in-action-second-edition,goodreads_scraped
"The Art of Computer Programming, Volumes 1-3 Boxed Set","The Art of Computer Programming, Volumes 1-3 Boxed Set",Donald Ervin Knuth,4.49,771,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348345166i/112239._SX50_.jpg,https://www.goodreads.com/book/show/112239.The_Art_of_Computer_Programming_Volumes_1_3_Boxed_Set,goodreads_scraped
Introduction to the Theory of Computation,Introduction to the Theory of Computation,Michael Sipser,4.24,2123,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347452544i/400716._SX50_.jpg,https://www.goodreads.com/book/show/400716.Introduction_to_the_Theory_of_Computation,goodreads_scraped
Windows 11: 2021 Complete New OS User Guide. 33 Best Tips and Tricks to Master your PC,Windows 11: 2021 Complete New OS User Guide. 33 Best Tips and Tricks to Master your PC,Allan Farington,4.45,40,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1629302958i/58802033._SY75_.jpg,https://www.goodreads.com/book/show/58802033-windows-11,goodreads_scraped
Artificial Intelligence: A Modern Approach,Artificial Intelligence: A Modern Approach,Stuart Russell,4.21,4478,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1333191638i/1127841._SX50_.jpg,https://www.goodreads.com/book/show/1127841.Artificial_Intelligence,goodreads_scraped
"TCP/IP Illustrated, Vol. 1: The Protocols","TCP/IP Illustrated, Vol. 1: The Protocols (Addison-Wesley Professional Computing Series)",W. Richard Stevens,4.31,1315,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348004070i/505560._SX50_.jpg,https://www.goodreads.com/book/show/505560.TCP_IP_Illustrated_Vol_1,goodreads_scraped
Algorithms,Algorithms,Robert Sedgewick,4.42,1830,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348011905i/10803540._SX50_.jpg,https://www.goodreads.com/book/show/10803540-algorithms,goodreads_scraped
Web Hacking Arsenal: A Practical Guide to Modern Web Pentesting,Web Hacking Arsenal: A Practical Guide to Modern Web Pentesting,Rafay  Baloch,4.96,51,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1718876552i/208444434._SY75_.jpg,https://www.goodreads.com/book/show/208444434-web-hacking-arsenal,goodreads_scraped
"Introduction to Automata Theory, Languages, and Computation","Introduction to Automata Theory, Languages, and Computation",John E. Hopcroft,4.05,672,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387668734i/1384026._SY75_.jpg,https://www.goodreads.com/book/show/1384026.Introduction_to_Automata_Theory_Languages_and_Computation,goodreads_scraped
